COD_MATRICULA|ALUNO_MATRICULADO_PROX_PERIODO|ALUNO_MATRICULADO|CONDICAO_GERENCIAL|CONDICAO_IMPEDE_RENOVACAO|TIPO_INADIMPLENCIA|RISCO_INADIMPLENCIA|COD_CURSO|COD_TURNO|COD_TIPO_CURSO|CLASSE_PAGANTE_ANT|CLASSE_PAGANTE_ATU|NOVO_FIES|PRV_ANT|PRV_ATU|LATE_COMER|NOM_SITUACAO_ALUNO|NOM_SITUACAO_PERIODO_ANT|VAL_A_PAGAR|VAL_A_PAGAR_PAR|VAL_DIVIDA_MENS|VAL_DIVIDA_TOTAL|FAIXA_DE_DIVIDA|ADIMP_N_REN|CR_PER_ANT|FAIXA_APROVACAO|QTD_ACESSOS_19_2|QTD_ACESSOS_20_1|IND_INDICIO_EVASAO|CLASSIFICACAO_PROP_EVASAO|CLASSIFICACAO_PROP_RENOVACAO|ACEITE_CONTRATO|PASTA_VERMELHA|REQ_AGEND_TRANC|SAFRA
201902612231|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|4003|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|759.62|0.0|0.0|0.0|SEM DIVIDA|0|7.19|7 - 100%|124.0|121.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902612248|0|0|7- BAIXO APROVEITAMENTO|INADIMPLENTE|INADIMPLENTE COM NEGOCIACAO|BAIXO RISCO|4004|3|11|PAR|PAR|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|48.99|472.24|300-500|0|0.0|1 - 0%|47.0|7.0|0|1 - Alto|4 - Baixo|0|0|0|VETERANO
201902612256|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|4003|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|0|7.4|5 - 61% A 80%|146.0|155.0|0|3 - Médio Baixo|2 - Médio Alto|1|0|0|VETERANO
201902612264|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|4004|3|11|PAR|PAR|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1029.52|5.08|0.0|0.0|SEM DIVIDA|0|6.58|7 - 100%|174.0|134.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902612272|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|4003|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|209.4|0.0|0.0|0.0|SEM DIVIDA|0|7.15|7 - 100%|21.0|15.0|0|1 - Alto|3 - Médio Baixo|1|0|0|VETERANO
201902612311|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|4003|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|337.41|0.0|0.0|0.0|SEM DIVIDA|0|6.9|7 - 100%|54.0|59.0|0|4 - Baixo|4 - Baixo|1|0|0|VETERANO
201902612329|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|4003|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|0|7.34|7 - 100%|23.0|37.0|0|2 - Médio Alto|4 - Baixo|1|0|0|VETERANO
201902612337|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|INADIMPLENTE COM NEGOCIACAO|MEDIO RISCO|11|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|472.91|0.0|0.0|113.21|SEM DIVIDA|0|7.5|7 - 100%|93.0|75.0|0|3 - Médio Baixo|4 - Baixo|1|0|0|VETERANO
201902612345|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|11|3|11|PAR|PAR|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1072.26|4.06|0.0|0.0|SEM DIVIDA|0|7.54|6 - 81% A 99%|43.0|58.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902612353|0|0|3 - PEDIDO DE TRANCAMENTO|PEDIDO DE TRANCAMENTO|ADIMPLENTE|SEM RISCO|11|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|1|7.13|7 - 100%|49.0|37.0|1|2 - Médio Alto|4 - Baixo|1|0|1|VETERANO
201902612371|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|11|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|655.68|0.0|0.0|0.0|SEM DIVIDA|0|7.15|7 - 100%|150.0|133.0|0|2 - Médio Alto|4 - Baixo|1|0|0|VETERANO
201902612401|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|11|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|0|8.49|7 - 100%|290.0|257.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
201902612434|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|11|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|655.68|0.0|0.0|0.0|SEM DIVIDA|0|8.95|7 - 100%|54.0|65.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902612442|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|11|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|603.75|0.0|9.8|9.8|SEM DIVIDA|0|6.06|5 - 61% A 80%|101.0|141.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902612451|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|11|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|0|8.47|7 - 100%|166.0|145.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902612469|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|11|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|472.91|0.0|0.0|0.0|SEM DIVIDA|0|7.22|7 - 100%|20.0|11.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201902612477|1|0|8 - BAIXO PROPENSO|INADIMPLENTE|INADIMPLENTE COM NEGOCIACAO|BAIXO RISCO|11|3|11|PAR|PAR|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1066.17|8.3|49.0|475.47|300-500|0|6.13|5 - 61% A 80%|40.0|35.0|0|2 - Médio Alto|4 - Baixo|1|0|0|VETERANO
201902612485|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|746.33|0.0|0.0|0.0|SEM DIVIDA|0|5.88|3 - 21% A 40%|43.0|32.0|0|2 - Médio Alto|3 - Médio Baixo|1|0|0|VETERANO
201902612493|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|INADIMPLENTE COM NEGOCIACAO|MEDIO RISCO|29|3|11|PAR|PAR|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1486.82|10.61|0.0|262.01|SEM DIVIDA|0|6.52|5 - 61% A 80%|148.0|133.0|0|4 - Baixo|4 - Baixo|1|0|0|VETERANO
